unit,station,technology,no_load_heat_input_GJ_per_h,marginal_heat_rate_GJ_per_MWH
BW01,Bayswater,Steam Sub Critical,540.00,9.23
BW02,Bayswater,Steam Sub Critical,540.00,9.26
BW03,Bayswater,Steam Sub Critical,540.00,9.26
BW04,Bayswater,Steam Sub Critical,540.00,9.26
CALL_B_1,Callide B,Steam Sub Critical,504.00,8.63
CALL_B_2,Callide B,Steam Sub Critical,504.00,8.63
CPP_3,Callide C,Steam Super Critical,612.00,8.45
CPP_4,Callide C,Steam Super Critical,453.60,8.82
ER01,Eraring,Steam Sub Critical,648.00,9.26
ER02,Eraring,Steam Sub Critical,648.00,9.26
ER03,Eraring,Steam Sub Critical,648.00,9.26
ER04,Eraring,Steam Sub Critical,648.00,9.26
GSTONE1,Gladstone,Steam Sub Critical,396.00,8.88
GSTONE2,Gladstone,Steam Sub Critical,396.00,8.88
GSTONE3,Gladstone,Steam Sub Critical,396.00,8.88
GSTONE4,Gladstone,Steam Sub Critical,396.00,8.88
GSTONE5,Gladstone,Steam Sub Critical,396.00,8.88
GSTONE6,Gladstone,Steam Sub Critical,396.00,8.88
KPP_1,Kogan Creek,Steam Super Critical,648.00,8.80
MPP_1,Millmerran,Steam Super Critical,666.00,8.23
MPP_2,Millmerran,Steam Super Critical,666.00,8.23
MP1,Mt Piper,Steam Sub Critical,540.00,9.00
MP2,Mt Piper,Steam Sub Critical,540.00,8.92
STAN-1,Stanwell,Steam Sub Critical,504.00,8.58
STAN-2,Stanwell,Steam Sub Critical,504.00,8.58
STAN-3,Stanwell,Steam Sub Critical,504.00,8.58
STAN-4,Stanwell,Steam Sub Critical,504.00,8.58
TARONG#1,Tarong,Steam Sub Critical,504.00,8.57
TARONG#2,Tarong,Steam Sub Critical,504.00,8.57
TARONG#3,Tarong,Steam Sub Critical,504.00,8.57
TARONG#4,Tarong,Steam Sub Critical,504.00,8.57
TNPS1,Tarong North,Steam Super Critical,648.00,7.77
VP5,Vales Point B,Steam Sub Critical,648.00,9.20
VP6,Vales Point B,Steam Sub Critical,648.00,9.20
LYA1,Loy Yang A Power Station,Steam Sub Critical,756.00,12.02
LYA2,Loy Yang A Power Station,Steam Sub Critical,756.00,11.94
LYA3,Loy Yang A Power Station,Steam Sub Critical,756.00,12.02
LYA4,Loy Yang A Power Station,Steam Sub Critical,756.00,12.02
LOYYB1,Loy Yang B,Steam Sub Critical,720.00,12.39
LOYYB2,Loy Yang B,Steam Sub Critical,720.00,12.39
YWPS1,Yallourn W,Steam Sub Critical,720.00,13.39
YWPS2,Yallourn W,Steam Sub Critical,720.00,13.39
YWPS3,Yallourn W,Steam Sub Critical,720.00,13.52
YWPS4,Yallourn W,Steam Sub Critical,720.00,13.52
ANGAS1,Angaston,Reciprocating Engine,0.00,13.10
ANGAS2,Angaston,Reciprocating Engine,0.00,13.10
BDL01,Bairnsdale,OCGT,72.00,9.07
BDL02,Bairnsdale,OCGT,72.00,9.07
BARCALDN,Barcaldine Power Station,OCGT,72.00,10.90
BIPS1_01,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_02,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_03,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_04,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_05,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_06,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_07,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_08,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_09,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_10,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_11,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BIPS1_12,Barker Inlet Power Station,Reciprocating Engine,0.00,8.14
BBTHREE1,Bell Bay Three,OCGT,72.00,10.61
BBTHREE2,Bell Bay Three,OCGT,72.00,10.61
BBTHREE3,Bell Bay Three,OCGT,72.00,10.61
BOLIVPS1_1,Bolivar Power Station,OCGT,14.40,10.18
BOLIVPS1_2,Bolivar Power Station,OCGT,14.40,10.18
BOLIVPS1_3,Bolivar Power Station,OCGT,14.40,10.18
BOLIVPS1_4,Bolivar Power Station,OCGT,14.40,10.18
BRAEMAR1,Braemar,OCGT,396.00,9.89
BRAEMAR2,Braemar,OCGT,396.00,9.89
BRAEMAR3,Braemar,OCGT,396.00,9.89
BRAEMAR5,Braemar 2 Power Station,OCGT,288.00,10.34
BRAEMAR6,Braemar 2 Power Station,OCGT,288.00,10.34
BRAEMAR7,Braemar 2 Power Station,OCGT,288.00,10.34
CG1,Colongra,OCGT,450.00,8.77
CG2,Colongra,OCGT,450.00,8.77
CG3,Colongra,OCGT,450.00,8.77
CG4,Colongra,OCGT,450.00,8.77
CPSA_GT1,Condamine A,CCGT - Gas Turbine,72.00,11.41
CPSA_GT2,Condamine A,CCGT - Gas Turbine,72.00,11.41
CPSA_ST,Condamine A,CCGT - Steam Turbine,0.00,11.50
DDPS1_GT1,Darling Downs,CCGT - Gas Turbine,209.88,11.26
DDPS1_GT2,Darling Downs,CCGT - Gas Turbine,209.88,11.26
DDPS1_GT3,Darling Downs,CCGT - Gas Turbine,209.88,11.26
DDPS1_ST,Darling Downs,CCGT - Steam Turbine,0.00,12.37
DRYCGT1,Dry Creek GT,OCGT,72.00,12.44
DRYCGT2,Dry Creek GT,OCGT,72.00,12.44
DRYCGT3,Dry Creek GT,OCGT,72.00,12.44
AGLHAL01,Hallett GT,OCGT,32.40,13.31
AGLHAL02,Hallett GT,OCGT,28.80,13.50
AGLHAL03,Hallett GT,OCGT,36.00,13.29
AGLHAL04,Hallett GT,OCGT,36.00,12.91
AGLHAL05,Hallett GT,OCGT,32.40,13.46
AGLHAL06,Hallett GT,OCGT,30.60,13.33
AGLHAL07,Hallett GT,OCGT,37.80,13.29
AGLHAL08,Hallett GT,OCGT,46.80,13.29
AGLHAL09,Hallett GT,OCGT,43.20,13.34
AGLHAL10,Hallett GT,OCGT,28.80,13.33
AGLHAL11,Hallett GT,OCGT,28.80,13.33
AGLHAL12,Hallett GT,OCGT,28.80,13.33
AGLHALRE,Hallett GT,OCGT,64.80,8.91
HEZ1,Hunter Economic Zone,Reciprocating Engine,0.00,11.20
JLA01,Jeeralang A,OCGT,72.00,14.37
JLA02,Jeeralang A,OCGT,72.00,14.37
JLA03,Jeeralang A,OCGT,72.00,14.37
JLA04,Jeeralang A,OCGT,72.00,14.37
JLB01,Jeeralang B,OCGT,108.00,14.30
JLB02,Jeeralang B,OCGT,108.00,14.30
JLB03,Jeeralang B,OCGT,108.00,14.30
LADBROK1,Ladbroke Grove,OCGT,72.00,10.20
LADBROK2,Ladbroke Grove,OCGT,72.00,10.20
LNGS1,Laverton North,OCGT,234.00,10.36
LNGS2,Laverton North,OCGT,234.00,10.36
LONSDALE,Lonsdale,Reciprocating Engine,0.00,8.10
MINTARO,Mintaro GT,OCGT,108.00,11.65
MORTLK11,Mortlake,OCGT,450.00,9.72
MORTLK12,Mortlake,OCGT,450.00,9.72
MSTUART1,Mt Stuart,OCGT,108.00,11.26
MSTUART2,Mt Stuart,OCGT,108.00,11.26
MSTUART3,Mt Stuart,OCGT,108.00,11.18
NPS,Newport,OCGT,360.00,10.11
OAKEY1,Oakey Power Station,OCGT,162.00,10.12
OAKEY2,Oakey Power Station,OCGT,162.00,10.12
OsborneGT,Osborne,CCGT - Gas Turbine,324.00,9.91
OsborneST,Osborne,CCGT - Steam Turbine,0.00,16.67
PPCCGTGT1,Pelican Point,CCGT - Gas Turbine,216.00,9.86
PPCCGTGT2,Pelican Point,CCGT - Gas Turbine,216.00,9.86
PPCCGTST,Pelican Point,CCGT - Steam Turbine,0.00,14.56
POR01-1,Port Lincoln GT,OCGT,25.20,12.92
POR01-2,Port Lincoln GT,OCGT,25.20,12.92
POR01-3,Port Lincoln GT,OCGT,25.20,12.85
PTSTAN1_1,Port Stanvac 1,Reciprocating Engine,0.00,8.10
PTSTAN1_2,Port Stanvac 1,Reciprocating Engine,0.00,8.10
QPS1,Quarantine,OCGT,18.00,10.66
QPS2,Quarantine,OCGT,10.80,10.83
QPS3,Quarantine,OCGT,18.00,10.66
QPS4,Quarantine,OCGT,10.80,10.83
QPS5,Quarantine,OCGT,266.40,9.20
ROMA_7,Roma,OCGT,18.00,11.55
ROMA_8,Roma,OCGT,18.00,11.55
SITHE01,Smithfield Energy Facility,OCGT,72.00,6.98
SNAPPER1_1,Snapper Point Power Station,OCGT,18.00,10.06
SNAPPER1_2,Snapper Point Power Station,OCGT,18.00,10.06
SNAPPER1_3,Snapper Point Power Station,OCGT,18.00,10.06
SNAPPER1_4,Snapper Point Power Station,OCGT,18.00,10.06
SNAPPER1_5,Snapper Point Power Station,OCGT,18.00,10.06
SNUG1,Snuggery,OCGT,18.00,12.99
SNUG2,Snuggery,OCGT,18.00,12.99
SNUG3,Snuggery,OCGT,18.00,12.99
AGLSOM01,Somerton,OCGT,36.00,14.18
AGLSOM02,Somerton,OCGT,36.00,14.18
AGLSOM03,Somerton,OCGT,36.00,14.18
AGLSOM04,Somerton,OCGT,36.00,14.18
SWAN_E,Swanbank E GT,CCGT,342.00,6.78
TALWA1,Tallawarra,CCGT,684.00,5.65
Tallawarra B,Tallawarra B,OCGT,576.00,7.96
TVCC201_GT,Tamar Valley Combined Cycle,CCGT - Gas Turbine,229.68,9.19
TVCC201_ST,Tamar Valley Combined Cycle,CCGT - Steam Turbine,0.00,14.88
TVPP104,Tamar Valley Peaking,OCGT,108.00,10.99
TORRB1,Torrens Island B,OCGT,144.00,10.56
TORRB2,Torrens Island B,OCGT,144.00,10.56
TORRB3,Torrens Island B,OCGT,144.00,10.56
TORRB4,Torrens Island B,OCGT,144.00,10.56
YABULU,Townsville Power Station,CCGT - Gas Turbine,302.40,9.69
YABULU2,Townsville Power Station,CCGT - Steam Turbine,0.00,15.20
URANQ11,Uranquinty,OCGT,288.00,9.59
URANQ12,Uranquinty,OCGT,288.00,9.59
URANQ13,Uranquinty,OCGT,288.00,9.59
URANQ14,Uranquinty,OCGT,288.00,9.59
VPGS1,Valley Power,OCGT,108.00,12.87
VPGS2,Valley Power,OCGT,108.00,12.87
VPGS3,Valley Power,OCGT,108.00,12.87
VPGS4,Valley Power,OCGT,108.00,12.87
VPGS5,Valley Power,OCGT,108.00,12.87
VPGS6,Valley Power,OCGT,108.00,12.87
YARWUN_1,Yarwun Cogen,CCGT,381.60,8.47
Tully Sugar Mill Biomass,Tully Sugar Mill Biomass,Biomass,46.08,16.10
HUNTER1,Hunter Power Station,OCGT,675.00,9.13
HUNTER2,Hunter Power Station,OCGT,675.00,9.13
Kogan Gas,Brigalow GT,OCGT,720.00,9.13
Lockyer Valley GT,Lockyer Valley GT,OCGT,78.00,9.66
