DUID,STATION,TECHNOLOGY,HEATRATE_GJ_PER_MWH
BW01,Bayswater,Steam Sub Critical,10.05
BW02,Bayswater,Steam Sub Critical,10.05
BW03,Bayswater,Steam Sub Critical,10.05
BW04,Bayswater,Steam Sub Critical,10.05
CALL_B_1,Callide B,Steam Sub Critical,10.07
CALL_B_2,Callide B,Steam Sub Critical,10.07
CPP_3,Callide C,Steam Super Critical,9.90
CPP_4,Callide C,Steam Super Critical,9.90
ER01,Eraring,Steam Sub Critical,10.16
ER02,Eraring,Steam Sub Critical,10.16
ER03,Eraring,Steam Sub Critical,10.16
ER04,Eraring,Steam Sub Critical,10.16
GSTONE1,Gladstone,Steam Sub Critical,10.30
GSTONE2,Gladstone,Steam Sub Critical,10.30
GSTONE3,Gladstone,Steam Sub Critical,10.30
GSTONE4,Gladstone,Steam Sub Critical,10.30
GSTONE5,Gladstone,Steam Sub Critical,10.30
GSTONE6,Gladstone,Steam Sub Critical,10.30
KPP_1,Kogan Creek,Steam Super Critical,9.67
MPP_1,Millmerran,Steam Super Critical,9.79
MPP_2,Millmerran,Steam Super Critical,9.79
MP1,Mt Piper,Steam Sub Critical,9.74
MP2,Mt Piper,Steam Sub Critical,9.74
STAN-1,Stanwell,Steam Sub Critical,9.96
STAN-2,Stanwell,Steam Sub Critical,9.96
STAN-3,Stanwell,Steam Sub Critical,9.96
STAN-4,Stanwell,Steam Sub Critical,9.96
TARONG#1,Tarong,Steam Sub Critical,10.01
TARONG#2,Tarong,Steam Sub Critical,10.01
TARONG#3,Tarong,Steam Sub Critical,10.01
TARONG#4,Tarong,Steam Sub Critical,10.01
TNPS1,Tarong North,Steam Super Critical,9.21
VP5,Vales Point B,Steam Sub Critical,10.19
VP6,Vales Point B,Steam Sub Critical,10.19
LYA1,Loy Yang A Power Station,Steam Sub Critical,13.37
LYA2,Loy Yang A Power Station,Steam Sub Critical,13.37
LYA3,Loy Yang A Power Station,Steam Sub Critical,13.37
LYA4,Loy Yang A Power Station,Steam Sub Critical,13.37
LOYYB1,Loy Yang B,Steam Sub Critical,13.63
LOYYB2,Loy Yang B,Steam Sub Critical,13.63
YWPS1,Yallourn W,Steam Sub Critical,15.44
YWPS2,Yallourn W,Steam Sub Critical,15.44
YWPS3,Yallourn W,Steam Sub Critical,15.44
YWPS4,Yallourn W,Steam Sub Critical,15.44
ANGAS1,Angaston,Reciprocating engine,13.10
ANGAS2,Angaston,Reciprocating engine,13.10
BDL01,Bairnsdale,OCGT,10.60
BDL02,Bairnsdale,OCGT,10.60
BARCALDN,Barcaldine Power Station,OCGT,12.85
BIPS1_01,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_02,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_03,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_04,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_05,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_06,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_07,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_08,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_09,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_10,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_11,Barker Inlet Power Station,Reciprocating engine,8.88
BIPS1_12,Barker Inlet Power Station,Reciprocating engine,8.88
BBTHREE1,Bell Bay Three,OCGT,12.41
BBTHREE2,Bell Bay Three,OCGT,12.41
BBTHREE3,Bell Bay Three,OCGT,12.41
BOLIVPS1_1,Bolivar Power Station,OCGT,10.65
BOLIVPS1_2,Bolivar Power Station,OCGT,10.65
BOLIVPS1_3,Bolivar Power Station,OCGT,10.65
BOLIVPS1_4,Bolivar Power Station,OCGT,10.65
BRAEMAR1,Braemar,OCGT,12.00
BRAEMAR2,Braemar,OCGT,12.00
BRAEMAR3,Braemar,OCGT,12.00
BRAEMAR5,Braemar 2 Power Station,OCGT,12.00
BRAEMAR6,Braemar 2 Power Station,OCGT,12.00
BRAEMAR7,Braemar 2 Power Station,OCGT,12.00
CG1,Colongra,OCGT,11.26
CG2,Colongra,OCGT,11.26
CG3,Colongra,OCGT,11.26
CG4,Colongra,OCGT,11.26
CPSA_GT1,Condamine A,CCGT - Gas Turbine,7.51
CPSA_GT2,Condamine A,CCGT - Gas Turbine,7.51
CPSA_ST,Condamine A,CCGT - Steam Turbine,7.51
DDPS1_GT1,Darling Downs,CCGT - Gas Turbine,7.85
DDPS1_GT2,Darling Downs,CCGT - Gas Turbine,7.85
DDPS1_GT3,Darling Downs,CCGT - Gas Turbine,7.85
DDPS1_ST,Darling Downs,CCGT - Steam Turbine,7.85
DRYCGT1,Dry Creek GT,OCGT,13.83
DRYCGT2,Dry Creek GT,OCGT,13.83
DRYCGT3,Dry Creek GT,OCGT,13.83
AGLHAL01,Hallett GT,OCGT,15.03
AGLHAL02,Hallett GT,OCGT,15.03
AGLHAL03,Hallett GT,OCGT,15.03
AGLHAL04,Hallett GT,OCGT,15.03
AGLHAL05,Hallett GT,OCGT,15.03
AGLHAL06,Hallett GT,OCGT,15.03
AGLHAL07,Hallett GT,OCGT,15.03
AGLHAL08,Hallett GT,OCGT,15.03
AGLHAL09,Hallett GT,OCGT,15.03
AGLHAL10,Hallett GT,OCGT,15.03
AGLHAL11,Hallett GT,OCGT,15.03
AGLHAL12,Hallett GT,OCGT,15.03
AGLHALRE,Hallett GT,OCGT,15.03
HEZ1,Hunter Economic Zone,Reciprocating engine,8.88
JLA01,Jeeralang A,OCGT,15.73
JLA02,Jeeralang A,OCGT,15.73
JLA03,Jeeralang A,OCGT,15.73
JLA04,Jeeralang A,OCGT,15.73
JLB01,Jeeralang B,OCGT,15.73
JLB02,Jeeralang B,OCGT,15.73
JLB03,Jeeralang B,OCGT,15.73
LADBROK1,Ladbroke Grove,OCGT,12.00
LADBROK2,Ladbroke Grove,OCGT,12.00
LNGS1,Laverton North,OCGT,11.86
LNGS2,Laverton North,OCGT,11.86
LONSDALE,Lonsdale,Reciprocating engine,8.10
MINTARO,Mintaro GT,OCGT,12.85
MORTLK11,Mortlake,OCGT,11.26
MORTLK12,Mortlake,OCGT,11.26
MSTUART1,Mt Stuart,OCGT,12.00
MSTUART2,Mt Stuart,OCGT,12.00
MSTUART3,Mt Stuart,OCGT,12.00
NPS,Newport,OCGT,10.83
OAKEY1,Oakey Power Station,OCGT,11.05
OAKEY2,Oakey Power Station,OCGT,11.05
OsborneGT,Osborne,CCGT - Gas Turbine,8.59
OsborneST,Osborne,CCGT - Steam Turbine,8.59
PPCCGTGT1,Pelican Point,CCGT - Gas Turbine,7.50
PPCCGTGT2,Pelican Point,CCGT - Gas Turbine,7.50
PPCCGTST,Pelican Point,CCGT - Steam Turbine,7.50
POR01-1,Port Lincoln GT,OCGT,13.93
POR01-2,Port Lincoln GT,OCGT,13.93
POR01-3,Port Lincoln GT,OCGT,13.93
PTSTAN1_1,Port Stanvac 1,Reciprocating engine,8.10
PTSTAN1_2,Port Stanvac 1,Reciprocating engine,8.10
QPS1,Quarantine,OCGT,11.28
QPS2,Quarantine,OCGT,11.28
QPS3,Quarantine,OCGT,11.28
QPS4,Quarantine,OCGT,11.28
QPS5,Quarantine,OCGT,11.28
ROMA_7,Roma,OCGT,12.00
ROMA_8,Roma,OCGT,12.00
SITHE01,Smithfield Energy Facility,OCGT,8.79
SNAPPER1_1,Snapper Point Power Station,OCGT,10.65
SNAPPER1_2,Snapper Point Power Station,OCGT,10.65
SNAPPER1_3,Snapper Point Power Station,OCGT,10.65
SNAPPER1_4,Snapper Point Power Station,OCGT,10.65
SNAPPER1_5,Snapper Point Power Station,OCGT,10.65
SNUG1,Snuggery,OCGT,13.85
SNUG2,Snuggery,OCGT,13.85
SNUG3,Snuggery,OCGT,13.85
AGLSOM01,Somerton,OCGT,15.03
AGLSOM02,Somerton,OCGT,15.03
AGLSOM03,Somerton,OCGT,15.03
AGLSOM04,Somerton,OCGT,15.03
SWAN_E,Swanbank E GT,CCGT,7.67
TALWA1,Tallawarra,CCGT,7.21
Tallawarra B,Tallawarra B,OCGT,10.93
TVCC201_GT,Tamar Valley Combined Cycle,CCGT - Gas Turbine,7.51
TVCC201_ST,Tamar Valley Combined Cycle,CCGT - Steam Turbine,7.51
TVPP104,Tamar Valley Peaking,OCGT,12.85
TORRB1,Torrens Island B,OCGT,11.28
TORRB2,Torrens Island B,OCGT,11.28
TORRB3,Torrens Island B,OCGT,11.28
TORRB4,Torrens Island B,OCGT,11.28
YABULU,Townsville Power Station,CCGT - Gas Turbine,7.83
YABULU2,Townsville Power Station,CCGT - Steam Turbine,7.83
URANQ11,Uranquinty,OCGT,11.26
URANQ12,Uranquinty,OCGT,11.26
URANQ13,Uranquinty,OCGT,11.26
URANQ14,Uranquinty,OCGT,11.26
VPGS1,Valley Power,OCGT,15.03
VPGS2,Valley Power,OCGT,15.03
VPGS3,Valley Power,OCGT,15.03
VPGS4,Valley Power,OCGT,15.03
VPGS5,Valley Power,OCGT,15.03
VPGS6,Valley Power,OCGT,15.03
YARWUN_1,Yarwun Cogen,CCGT,10.59
BARRON-1,Barron Gorge,Hydro,0.00
BARRON-2,Barron Gorge,Hydro,0.00
BASTYAN,Bastyan,Hydro,0.00
BLOWERNG,Blowering,Hydro,0.00
BOGONG1,Bogong / Mackay,Hydro,0.00
BOGONG2,Bogong / Mackay,Hydro,0.00
MCKAY11,Bogong / Mackay,Hydro,0.00
MCKAY12,Bogong / Mackay,Hydro,0.00
MCKAY13,Bogong / Mackay,Hydro,0.00
MCKAY14,Bogong / Mackay,Hydro,0.00
MCKAY15,Bogong / Mackay,Hydro,0.00
MCKAY16,Bogong / Mackay,Hydro,0.00
LI111-1,Catagunya / Liapootah / Wayatinah,Hydro,0.00
LI112-2,Catagunya / Liapootah / Wayatinah,Hydro,0.00
LI113-3,Catagunya / Liapootah / Wayatinah,Hydro,0.00
CA111-1,Catagunya / Liapootah / Wayatinah,Hydro,0.00
CA112-2,Catagunya / Liapootah / Wayatinah,Hydro,0.00
WY111-1,Catagunya / Liapootah / Wayatinah,Hydro,0.00
WY111-2,Catagunya / Liapootah / Wayatinah,Hydro,0.00
WY111-3,Catagunya / Liapootah / Wayatinah,Hydro,0.00
CETHANA,Cethana,Hydro,0.00
DARTM1,Dartmouth,Hydro,0.00
DEVILS_G,Devils Gate,Hydro,0.00
EILDON1,Eildon,Hydro,0.00
EILDON2,Eildon,Hydro,0.00
FISHER,Fisher,Hydro,0.00
GO181-1,Gordon,Hydro,0.00
GO182-2,Gordon,Hydro,0.00
GO183-3,Gordon,Hydro,0.00
GUTHEGA1,Guthega,Hydro,0.00
GUTHEGA2,Guthega,Hydro,0.00
HUMENSW,Hume Dam NSW,Hydro,0.00
HUMEV,Hume Dam VIC,Hydro,0.00
JBUTTERS,John Butters,Hydro,0.00
KAREEYA1,Kareeya,Hydro,0.00
KAREEYA2,Kareeya,Hydro,0.00
KAREEYA3,Kareeya,Hydro,0.00
KAREEYA4,Kareeya,Hydro,0.00
LK_ECHO,Lake Echo,Hydro,0.00
LM111-1,Lemonthyme / Wilmot,Hydro,0.00
WI111-1,Lemonthyme / Wilmot,Hydro,0.00
MACKNTSH,Mackintosh,Hydro,0.00
MEADOWBK,Meadowbank,Hydro,0.00
MURRAY01,Murray 1,Hydro,0.00
MURRAY02,Murray 1,Hydro,0.00
MURRAY03,Murray 1,Hydro,0.00
MURRAY04,Murray 1,Hydro,0.00
MURRAY05,Murray 1,Hydro,0.00
MURRAY06,Murray 1,Hydro,0.00
MURRAY07,Murray 1,Hydro,0.00
MURRAY08,Murray 1,Hydro,0.00
MURRAY09,Murray 1,Hydro,0.00
MURRAY10,Murray 1,Hydro,0.00
MURRAY11,Murray 2,Hydro,0.00
MURRAY12,Murray 2,Hydro,0.00
MURRAY13,Murray 2,Hydro,0.00
MURRAY14,Murray 2,Hydro,0.00
PO161-1,Poatina,Hydro,0.00
PO162-2,Poatina,Hydro,0.00
PO163-3,Poatina,Hydro,0.00
PO164-4,Poatina,Hydro,0.00
PO165-5,Poatina,Hydro,0.00
PO166-6,Poatina,Hydro,0.00
REECE1,Reece,Hydro,0.00
REECE2,Reece,Hydro,0.00
SHGEN01,Shoalhaven,Hydro,0.00
SHGEN02,Shoalhaven,Hydro,0.00
SHGEN03,Shoalhaven,Hydro,0.00
SHGEN04,Shoalhaven,Hydro,0.00
TA111-1,Tarraleah,Hydro,0.00
TA111-2,Tarraleah,Hydro,0.00
TA111-3,Tarraleah,Hydro,0.00
TA112-4,Tarraleah,Hydro,0.00
TA112-5,Tarraleah,Hydro,0.00
TA112-6,Tarraleah,Hydro,0.00
TR111-1,Trevallyn,Hydro,0.00
TR111-2,Trevallyn,Hydro,0.00
TR112-3,Trevallyn,Hydro,0.00
TR112-4,Trevallyn,Hydro,0.00
TRIBUTE,Tribute,Hydro,0.00
TUMUT3_01,Tumut 3,Hydro,0.00
TUMUT3_02,Tumut 3,Hydro,0.00
TUMUT3_03,Tumut 3,Hydro,0.00
TUMUT3_04,Tumut 3,Hydro,0.00
TUMUT3_05,Tumut 3,Hydro,0.00
TUMUT3_06,Tumut 3,Hydro,0.00
TU111-1,Tungatinah,Hydro,0.00
TU112-2,Tungatinah,Hydro,0.00
TU113-3,Tungatinah,Hydro,0.00
TU114-4,Tungatinah,Hydro,0.00
TU115-5,Tungatinah,Hydro,0.00
TUMUT1_01,Upper Tumut,Hydro,0.00
TUMUT1_02,Upper Tumut,Hydro,0.00
TUMUT1_03,Upper Tumut,Hydro,0.00
TUMUT1_04,Upper Tumut,Hydro,0.00
TUMUT2_01,Upper Tumut,Hydro,0.00
TUMUT2_02,Upper Tumut,Hydro,0.00
TUMUT2_03,Upper Tumut,Hydro,0.00
TUMUT2_04,Upper Tumut,Hydro,0.00
WKIEWA1_1,West Kiewa,Hydro,0.00
WKIEWA1_2,West Kiewa,Hydro,0.00
WKIEWA2_1,West Kiewa,Hydro,0.00
WKIEWA2_2,West Kiewa,Hydro,0.00
W/HOE#1,Wivenhoe,Hydro,0.00
W/HOE#2,Wivenhoe,Hydro,0.00
BANN1,Bannerton Solar Park,Large scale Solar PV,0.00
BERYLSF1,Beryl Solar Farm,Large scale Solar PV,0.00
BOWWPV1,Bolivar Waste Water Treatment Solar Farm,Large scale Solar PV,0.00
BOMENSF1,Bomen Solar Farm,Large scale Solar PV,0.00
BROKENH1,Broken Hill Solar Farm,Large scale Solar PV,0.00
BNGSF1,Bungala One Solar Farm,Large scale Solar PV,0.00
BNGSF2,Bungala Two Solar Farm,Large scale Solar PV,0.00
CHILDSF1,Childers Solar Farm,Large scale Solar PV,0.00
CLARESF1,Clare Solar Farm,Large scale Solar PV,0.00
CLERMSF1,Clermont Solar Farm,Large scale Solar PV,0.00
COLEASF1,Coleambally Solar Farm,Large scale Solar PV,0.00
CSPVPS1,Collinsville Solar Farm,Large scale Solar PV,0.00
DDSF1,Darling Downs Solar Farm,Large scale Solar PV,0.00
DARLSF1,Darlington Point Solar Farm,Large scale Solar PV,0.00
DAYDSF1,Daydream Solar Farm,Large scale Solar PV,0.00
EMERASF1,Emerald Solar Farm,Large scale Solar PV,0.00
FINLYSF1,Finley Solar Farm,Large scale Solar PV,0.00
GANNSF1,Gannawarra Solar Farm,Large scale Solar PV,0.00
GLENSF1,Glenrowan Solar Farm,Large scale Solar PV,0.00
GLRWNSF1,Glenrowan West Solar Farm,Large scale Solar PV,0.00
GOONSF1,Goonumbla Solar Farm,Large scale Solar PV,0.00
GULLRSF1,Gullen Range Solar Farm,Large scale Solar PV,0.00
GNNDHSF1,Gunnedah Solar Farm,Large scale Solar PV,0.00
HAMISF1,Hamilton Solar Farm,Large scale Solar PV,0.00
HVWWPV1,Happy Valley Reservoir,Large scale Solar PV,0.00
HAUGHT11,Haughton Solar Farm,Large scale Solar PV,0.00
HAYMSF1,Hayman Solar Farm,Large scale Solar PV,0.00
HILLSTN1,Hillston Sun Farm,Large scale Solar PV,0.00
HUGSF1,Hughenden Solar Farm,Large scale Solar PV,0.00
JEMALNG1,Jemalong Solar,Large scale Solar PV,0.00
JUNEESF1,Junee Solar Farm,Large scale Solar PV,0.00
KARSF1,Karadoc Solar Farm,Large scale Solar PV,0.00
KIAMSF1,Kiamal Solar Farm stage 1,Large scale Solar PV,0.00
KSP1,Kidston Solar Farm,Large scale Solar PV,0.00
LILYSF1,Lilyvale Solar Farm,Large scale Solar PV,0.00
LIMOSF11,Limondale Solar Farm 1,Large scale Solar PV,0.00
LIMOSF21,Limondale Solar Farm 2,Large scale Solar PV,0.00
LRSF1,Longreach Solar Farm,Large scale Solar PV,0.00
MANSLR1,Manildra Solar Farm,Large scale Solar PV,0.00
MAPS2PV1,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Large scale Solar PV,0.00
MAPS3PV1,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Large scale Solar PV,0.00
MARYRSF1,Maryrorough Solar Farm,Large scale Solar PV,0.00
MIDDLSF1,Middlemount Solar Farm,Large scale Solar PV,0.00
MOLNGSF1,Molong Solar Farm,Large scale Solar PV,0.00
MOREESF1,Moree Solar Farm,Large scale Solar PV,0.00
MWPS1PV1,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Large scale Solar PV,0.00
MWPS2PV1,Morgan To Whyalla Pipeline No 2 PS,Large scale Solar PV,0.00
MWPS3PV1,Morgan To Whyalla Pipeline No 3 PS,Large scale Solar PV,0.00
MWPS4PV1,Morgan To Whyalla Pipeline No 4 PS,Large scale Solar PV,0.00
MOUSF1,Moura Solar Farm,Large scale Solar PV,0.00
MBPS2PV1,Murray Bridge - Onkaparinga Pipeline Pump 2,Large scale Solar PV,0.00
NEVERSF1,Nevertire Solar Farm,Large scale Solar PV,0.00
NEWENSF1,New England Solar Farm,Large scale Solar PV,0.00
NEWENSF2,New England Solar Farm,Large scale Solar PV,0.00
NUMURSF1,Numurkah Solar Farm,Large scale Solar PV,0.00
NYNGAN1,Nyngan Solar Plant,Large scale Solar PV,0.00
OAKEY1SF,Oakey 1 Solar Farm,Large scale Solar PV,0.00
OAKEY2SF,Oakey 2 Solar Farm,Large scale Solar PV,0.00
PARSF1,Parkes Solar Farm,Large scale Solar PV,0.00
PAREPS1,Port Augusta Renewable Energy Park - Solar,Large scale Solar PV,0.00
RRSF1,Ross River Solar Farm,Large scale Solar PV,0.00
RUGBYR1,Rugby Run Solar Farm,Large scale Solar PV,0.00
SMCSF1,Sun Metals Corporation Solar Farm,Large scale Solar PV,0.00
SUNRSF1,Sunraysia Solar Farm,Large scale Solar PV,0.00
SUNTPSF1,Suntop Solar Farm,Large scale Solar PV,0.00
SRSF1,Susan River Solar Farm,Large scale Solar PV,0.00
TBSF1,Tailem Bend Solar Farm,Large scale Solar PV,0.00
WARWSF1,Warwick Solar Farm - stage 1,Large scale Solar PV,0.00
WARWSF2,Warwick Solar Farm - stage 2,Large scale Solar PV,0.00
WELLSF1,Wellington Solar Farm,Large scale Solar PV,0.00
WEMENSF1,Wemen Solar Farm,Large scale Solar PV,0.00
WSTWYSF1,West Wyalong Solar Farm,Large scale Solar PV,0.00
WDGPH1,Western Downs Green Power Hub,Large scale Solar PV,0.00
WRSF1,White Rock Solar Farm,Large scale Solar PV,0.00
WHITSF1,Whitsunday Solar Farm,Large scale Solar PV,0.00
WINTSF1,Winton Solar Farm,Large scale Solar PV,0.00
WOOLGSF1,Woolooga Solar Farm,Large scale Solar PV,0.00
YARANSF1,Yarranlea Solar Farm,Large scale Solar PV,0.00
YATSF1,Yatpool Solar Farm,Large scale Solar PV,0.00
ARWF1,Ararat Wind Farm,Wind,0.00
BALDHWF1,Bald Hills Wind Farm,Wind,0.00
BANGOWF1,Bango 973 Wind Farm,Wind,0.00
BANGOWF2,Bango 999 Wind Farm,Wind,0.00
BRYB1WF1,Berrybank Wind Farm,Wind,0.00
BRYB2WF2,Berrybank Wind Farm,Wind,0.00
BOCORWF1,Boco Rock Wind Farm,Wind,0.00
BODWF1,Bodangora Wind Farm,Wind,0.00
BULGANA1,Bulgana Green Power Hub - Wind Farm,Wind,0.00
CNUNDAWF,Canunda Wind Farm,Wind,0.00
CAPTL_WF,Capital Wind Farm,Wind,0.00
CATHROCK,Cathedral Rocks Wind Farm,Wind,0.00
CTHLWF1,Cattle Hill Wind Farm,Wind,0.00
CHALLHWF,Challicum Hills Wind Farm,Wind,0.00
CHYTWF1,Cherry Tree Wind Farm,Wind,0.00
CLEMGPWF,Clements Gap Wind Farm,Wind,0.00
COLWF01,Collector Wind Farm,Wind,0.00
COOPGWF1,Coopers Gap Wind Farm,Wind,0.00
CROOKWF2,Crookwell 2 Wind Farm,Wind,0.00
CROWLWF1,Crowlands Wind Farm,Wind,0.00
CRURWF1,Crudine Ridge Wind Farm,Wind,0.00
CULLRGWF,Cullerin Range Wind Farm,Wind,0.00
DULAWF1,Dulacca Wind Farm,Wind,0.00
DUNDWF1,Dundonnell Wind Farm,Wind,0.00
